4 5
1 1 1
1 3 1
1 4 1
1 5 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 29 1
1 31 1
1 33 1
1 35 1
1 36 1
1 37 1
1 38 1
1 39 1
2 1 1
2 3 1
2 7 1
2 9 1
2 13 1
2 17 1
2 27 1
2 29 1
2 31 1
2 33 1
2 35 1
2 39 1
3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 9 1
3 11 1
3 13 1
3 15 1
3 16 1
3 17 1
3 19 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 27 1
3 28 1
3 29 1
3 30 1
3 31 1
3 32 1
3 33 1
3 34 1
3 35 1
3 36 1
3 37 1
3 39 1
4 3 1
4 11 1
4 17 1
4 19 1
4 21 1
4 23 1
4 27 1
4 29 1
4 35 1
4 37 1
5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 13 1
5 15 1
5 17 1
5 19 1
5 20 1
5 21 1
5 23 1
5 25 1
5 26 1
5 27 1
5 29 1
5 30 1
5 31 1
5 33 1
5 34 1
5 35 1
5 37 1
5 38 1
5 39 1
6 3 1
6 7 1
6 13 1
6 15 1
6 19 1
6 21 1
6 29 1
6 35 1
7 1 1
7 2 1
7 3 1
7 4 1
7 5 1
7 6 1
7 7 1
7 8 1
7 9 1
7 11 1
7 12 1
7 13 1
7 14 1
7 15 1
7 16 1
7 17 1
7 18 1
7 19 1
7 21 1
7 22 1
7 23 1
7 24 1
7 25 1
7 26 1
7 27 1
7 29 1
7 30 1
7 31 1
7 32 1
7 33 1
7 35 1
7 36 1
7 37 1
7 39 1
8 5 1
8 9 1
8 13 1
8 17 1
8 29 1
8 37 1
8 39 1
9 1 1
9 2 1
9 3 1
9 4 1
9 5 1
9 7 1
9 9 1
9 11 1
9 12 1
9 13 1
9 14 1
9 15 1
9 17 1
9 18 1
9 19 1
9 20 1
9 21 1
9 22 1
9 23 1
9 25 1
9 27 1
9 28 1
9 29 1
9 30 1
9 31 1
9 32 1
9 33 1
9 35 1
9 37 1
9 38 1
9 39 1
10 3 1
10 5 1
10 7 1
10 9 1
10 11 1
10 17 1
10 19 1
10 23 1
10 25 1
10 29 1
10 33 1
10 35 1
10 39 1
11 1 1
11 2 1
11 3 1
11 5 1
11 6 1
11 7 1
11 9 1
11 10 1
11 11 1
11 13 1
11 14 1
11 15 1
11 17 1
11 19 1
11 21 1
11 22 1
11 23 1
11 24 1
11 25 1
11 26 1
11 27 1
11 29 1
11 30 1
11 31 1
11 33 1
11 34 1
11 35 1
11 36 1
11 37 1
11 39 1
12 1 1
12 5 1
12 7 1
12 11 1
12 13 1
12 19 1
12 23 1
12 27 1
12 29 1
12 31 1
12 33 1
12 39 1
13 1 1
13 3 1
13 5 1
13 7 1
13 9 1
13 10 1
13 11 1
13 12 1
13 13 1
13 14 1
13 15 1
13 17 1
13 18 1
13 19 1
13 20 1
13 21 1
13 23 1
13 24 1
13 25 1
13 27 1
13 29 1
13 31 1
13 33 1
13 34 1
13 35 1
13 37 1
13 39 1
14 3 1
14 5 1
14 9 1
14 11 1
14 13 1
14 29 1
14 33 1
14 35 1
14 37 1
14 39 1
15 1 1
15 3 1
15 4 1
15 5 1
15 6 1
15 7 1
15 9 1
15 11 1
15 13 1
15 15 1
15 17 1
15 18 1
15 19 1
15 20 1
15 21 1
15 23 1
15 24 1
15 25 1
15 26 1
15 27 1
15 29 1
15 30 1
15 31 1
15 33 1
15 35 1
15 36 1
15 37 1
15 39 1
16 1 1
16 5 1
16 9 1
16 15 1
16 17 1
16 19 1
16 23 1
17 1 1
17 2 1
17 3 1
17 4 1
17 5 1
17 6 1
17 7 1
17 9 1
17 10 1
17 11 1
17 12 1
17 13 1
17 15 1
17 17 1
17 19 1
17 21 1
17 22 1
17 23 1
17 25 1
17 27 1
17 29 1
17 30 1
17 31 1
17 32 1
17 33 1
17 35 1
17 37 1
17 38 1
17 39 1
18 1 1
18 3 1
18 7 1
18 11 1
18 13 1
18 15 1
18 17 1
18 23 1
18 25 1
18 27 1
18 29 1
18 35 1
18 39 1
19 1 1
19 3 1
19 5 1
19 6 1
19 7 1
19 9 1
19 11 1
19 13 1
19 15 1
19 17 1
19 19 1
19 20 1
19 21 1
19 22 1
19 23 1
19 24 1
19 25 1
19 26 1
19 27 1
19 28 1
19 29 1
19 30 1
19 31 1
19 32 1
19 33 1
19 34 1
19 35 1
19 36 1
19 37 1
19 38 1
19 39 1
20 1 1
20 3 1
20 7 1
20 9 1
20 15 1
20 17 1
20 19 1
20 23 1
20 25 1
20 35 1
21 1 1
21 3 1
21 5 1
21 7 1
21 8 1
21 9 1
21 11 1
21 12 1
21 13 1
21 15 1
21 16 1
21 17 1
21 18 1
21 19 1
21 20 1
21 21 1
21 23 1
21 25 1
21 26 1
21 27 1
21 28 1
21 29 1
21 30 1
21 31 1
21 32 1
21 33 1
21 35 1
21 36 1
21 37 1
21 38 1
21 39 1
22 1 1
22 5 1
22 7 1
22 11 1
22 15 1
22 19 1
22 21 1
22 25 1
22 29 1
22 31 1
22 35 1
22 37 1
22 39 1
23 1 1
23 2 1
23 3 1
23 5 1
23 6 1
23 7 1
23 8 1
23 9 1
23 10 1
23 11 1
23 12 1
23 13 1
23 14 1
23 15 1
23 16 1
23 17 1
23 19 1
23 21 1
23 22 1
23 23 1
23 25 1
23 27 1
23 29 1
23 31 1
23 33 1
23 34 1
23 35 1
23 37 1
23 39 1
24 1 1
24 5 1
24 7 1
24 15 1
24 17 1
24 27 1
24 37 1
25 1 1
25 3 1
25 4 1
25 5 1
25 7 1
25 8 1
25 9 1
25 10 1
25 11 1
25 12 1
25 13 1
25 15 1
25 17 1
25 18 1
25 19 1
25 20 1
25 21 1
25 22 1
25 23 1
25 24 1
25 25 1
25 26 1
25 27 1
25 28 1
25 29 1
25 30 1
25 31 1
25 32 1
25 33 1
25 34 1
25 35 1
25 37 1
25 38 1
25 39 1
26 5 1
26 7 1
26 9 1
26 17 1
26 21 1
26 23 1
26 29 1
26 31 1
26 35 1
27 1 1
27 2 1
27 3 1
27 4 1
27 5 1
27 7 1
27 9 1
27 10 1
27 11 1
27 12 1
27 13 1
27 15 1
27 16 1
27 17 1
27 18 1
27 19 1
27 21 1
27 23 1
27 24 1
27 25 1
27 27 1
27 28 1
27 29 1
27 31 1
27 32 1
27 33 1
27 35 1
27 36 1
27 37 1
27 38 1
27 39 1
28 9 1
28 19 1
28 25 1
28 29 1
28 33 1
28 35 1
28 37 1
28 39 1
29 1 1
29 3 1
29 4 1
29 5 1
29 6 1
29 7 1
29 8 1
29 9 1
29 10 1
29 11 1
29 12 1
29 13 1
29 14 1
29 15 1
29 16 1
29 17 1
29 19 1
29 21 1
29 23 1
29 25 1
29 26 1
29 27 1
29 29 1
29 30 1
29 31 1
29 33 1
29 35 1
29 37 1
29 39 1
30 1 1
30 3 1
30 9 1
30 11 1
30 13 1
30 21 1
30 23 1
30 29 1
31 1 1
31 2 1
31 3 1
31 4 1
31 5 1
31 7 1
31 8 1
31 9 1
31 11 1
31 13 1
31 15 1
31 17 1
31 18 1
31 19 1
31 20 1
31 21 1
31 23 1
31 25 1
31 26 1
31 27 1
31 28 1
31 29 1
31 30 1
31 31 1
31 32 1
31 33 1
31 34 1
31 35 1
31 36 1
31 37 1
31 39 1
32 1 1
32 5 1
32 7 1
32 9 1
32 13 1
32 15 1
32 19 1
32 23 1
32 27 1
32 29 1
32 33 1
32 39 1
33 1 1
33 3 1
33 5 1
33 7 1
33 9 1
33 11 1
33 12 1
33 13 1
33 14 1
33 15 1
33 16 1
33 17 1
33 18 1
33 19 1
33 20 1
33 21 1
33 22 1
33 23 1
33 24 1
33 25 1
33 27 1
33 29 1
33 30 1
33 31 1
33 33 1
33 35 1
33 37 1
33 39 1
34 1 1
34 3 1
34 5 1
34 9 1
34 11 1
34 13 1
34 17 1
34 19 1
34 23 1
34 35 1
34 37 1
34 39 1
35 1 1
35 2 1
35 3 1
35 5 1
35 7 1
35 8 1
35 9 1
35 11 1
35 13 1
35 15 1
35 16 1
35 17 1
35 19 1
35 21 1
35 22 1
35 23 1
35 24 1
35 25 1
35 26 1
35 27 1
35 29 1
35 31 1
35 32 1
35 33 1
35 35 1
35 36 1
35 37 1
35 39 1
36 1 1
36 5 1
36 9 1
36 13 1
36 17 1
36 23 1
36 27 1
36 29 1
36 31 1
36 33 1
36 37 1
36 39 1
37 1 1
37 3 1
37 4 1
37 5 1
37 6 1
37 7 1
37 9 1
37 10 1
37 11 1
37 13 1
37 15 1
37 17 1
37 18 1
37 19 1
37 21 1
37 22 1
37 23 1
37 24 1
37 25 1
37 27 1
37 28 1
37 29 1
37 31 1
37 33 1
37 35 1
37 36 1
37 37 1
37 39 1
38 1 1
38 5 1
38 9 1
38 13 1
38 15 1
38 17 1
38 21 1
38 23 1
38 27 1
38 31 1
38 37 1
38 39 1
39 1 1
39 3 1
39 4 1
39 5 1
39 7 1
39 8 1
39 9 1
39 10 1
39 11 1
39 13 1
39 15 1
39 16 1
39 17 1
39 19 1
39 20 1
39 21 1
39 23 1
39 24 1
39 25 1
39 27 1
39 28 1
39 29 1
39 30 1
39 31 1
39 32 1
39 33 1
39 34 1
39 35 1
